"PARENT_KEY","Site","Cluster","Plot","Longitude","Latitude","VegStructure","Year","Trees","Shrubs","KEY","trheight","trcircumf","trspecies_scientific","treespecies_common","Subplot"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[4]","4.2","13","Eucalyptus paniculata","N","4"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[5]","4.3","11","Eucalyptus paniculata","N","4"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[6]","4.3","10","Eucalyptus paniculata","N","4"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[7]","6.2","13","Eucalyptus paniculata","N","4"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[8]","6.3","11","Eucalyptus paniculata","N","4"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[9]","6.4","13","Eucalyptus paniculata","N","4"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[10]","6.4","12","Eucalyptus paniculata","N","4"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[11]","6.4","12","Eucalyptus paniculata","N","4"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[12]","6.4","9","Eucalyptus paniculata","N","4"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[13]","3.6","5","Eucalyptus paniculata","N","4"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[14]","3.4","7","Eucalyptus paniculata","N","4"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[15]","3.6","13","Eucalyptus paniculata","N","4"
"uuid:3f4b430d-cfbc-4a35-a39b-572b58b8ac25","Kalamba","7","7","37.5202","-1.85061","shrubland","2023","yes","yes","uuid:3f4b430d-cfbc-4a35-a39b-572b58b8ac25/supl4_tree_data[1]","4.3","19","Persea americana","N","4"
"uuid:3f4b430d-cfbc-4a35-a39b-572b58b8ac25","Kalamba","7","7","37.5202","-1.85061","shrubland","2023","yes","yes","uuid:3f4b430d-cfbc-4a35-a39b-572b58b8ac25/supl4_tree_data[2]","4.6","23","Croton megalocarpus","N","4"
"uuid:3f4b430d-cfbc-4a35-a39b-572b58b8ac25","Kalamba","7","7","37.5202","-1.85061","shrubland","2023","yes","yes","uuid:3f4b430d-cfbc-4a35-a39b-572b58b8ac25/supl4_tree_data[3]","3.1","16","Mangifera indica","N","4"
"uuid:2a16e097-019b-42a2-96bb-3e8b17d675cb","Kalamba","3","4","37.4964","-1.85508","shrubland","2023","yes","yes","uuid:2a16e097-019b-42a2-96bb-3e8b17d675cb/supl4_tree_data[1]","3.2","11","Citrus sinensis","N","4"
